City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
331,Luancheng,CN,37.8792,114.6517,53.6,76,100,4.47,light rain
332,Manjacaze,MZ,-24.7117,33.8828,66.24,93,0,2.77,clear sky
333,Koutiala,ML,12.3917,-5.4642,94.87,19,47,2.19,scattered clouds
334,Salamiyah,SY,35.0113,37.0532,68.45,40,12,5.99,few clouds
335,Codrington,AU,-38.2667,141.9667,56.01,77,100,4.45,overcast clouds
336,Cadillac,US,44.2519,-85.4012,41.0,38,1,9.22,clear sky
337,Santo Amaro Da Imperatriz,BR,-27.6881,-48.7786,73.4,73,75,5.75,broken clouds
338,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,78.98,91,94,2.06,overcast clouds
339,Methoni,GR,36.8197,21.7049,59.0,93,22,4.65,few clouds
340,Muramvya,BI,-3.2682,29.6079,57.58,95,100,1.32,overcast clouds
341,Shimoda,JP,34.6667,138.95,55.0,40,40,1.99,scattered clouds
342,Baruun-Urt,MN,46.6806,113.2792,49.6,47,48,20.85,scattered clouds
343,Sao Filipe,CV,14.8961,-24.4956,72.73,71,76,11.59,broken clouds
